NUMERO;GENERO;TIPO_COLEGIO;LOCALIDAD_COLEGIO;CALENDARIO;MUNICIPIO;DEPARTAMENTO;PG_ICFES;CON_MAT_ICFES;APT_MAT_ICFES;FISICA_ICFES;QUIMICA_ICFES;APT_VERB_ICFES;LITERATURA_ICFES;BIOLOGIA_ICFES;SOCIALES_ICFES;FILOSOFIA_ICFES;IDIOMA_ICFES;LOCALIDAD;DISTANCIA;INSCRIPCION;ESTRATO;ANO_INGRESO;RENDIMIENTO_UNO
1967;0;0;0;0;0;0;339;68;0;0;0;0;64;72;68;0;65;20;6;9;1;2018;2
1968;0;0;0;0;0;0;340;72;0;0;0;0;64;68;64;0;81;16;2;9;3;2018;2
1969;0;0;0;0;0;0;356;74;0;0;0;0;73;66;69;0;78;8;3;9;2;2018;1
1970;0;0;0;0;0;0;339;75;0;0;0;0;64;67;64;0;71;12;3;9;2;2018;2
1971;0;0;0;0;0;0;352;71;0;0;0;0;70;70;70;0;71;11;5;9;3;2018;2
1972;0;0;0;0;0;0;341;76;0;0;0;0;70;67;65;0;53;20;6;9;3;2018;1
1973;1;0;0;0;0;0;359;80;0;0;0;0;74;65;68;0;73;11;5;9;2;2018;2
1974;0;0;0;0;0;0;357;74;0;0;0;0;74;65;70;0;80;5;6;9;2;2018;1
1975;0;0;0;0;0;0;347;71;0;0;0;0;65;73;67;0;72;8;3;9;3;2018;2
1976;1;0;0;0;0;0;337;80;0;0;0;0;68;66;56;0;67;10;3;9;3;2018;1
1977;1;0;0;0;0;0;343;69;0;0;0;0;66;74;64;0;74;20;6;9;3;2018;1
1978;0;0;0;0;0;0;284;59;0;0;0;0;54;58;57;0;53;7;5;7;2;2018;1
1979;0;0;0;0;0;0;344;69;0;0;0;0;72;69;67;0;63;6;5;9;2;2018;2
1980;1;0;0;0;0;0;343;63;0;0;0;0;70;74;68;0;67;7;5;9;2;2018;1
