Tipo de escenario,Corregimiento o comuna,VeredaBarrio,Nombre barrio o vereda,Nombre escenario deportivo,Dirección,Longitud,latitud,georeferenciacion
Gimnasio al aire libre,Comuna 3 Monseñor Alfonso Uribe Jaramillo,Barrio,El águila,Gimnasio al aire libre el águila,Cl. 45 #42-37 a 42-27,6.66152211,75.7536691,POINT (6.66152211 75.7536691)
Gimnasio al aire libre,Comuna 1 Liborio Mejía,Barrio,Las playas,Gimnasio al aire libre las playas,Cra. 44 #50-2 a 50-40,6.66153578,75.75369162,POINT (6.66153578 75.75369162)
Parques infantiles,Comuna 1 Liborio Mejía,Barrio,Las playas,Parque infantil las playas,Cl. 51 #44-2 a 44-34,6.66154389,75.75369254,POINT (6.66154389 75.75369254)
Placa Polideportiva,Comuna 1 Liborio Mejía,Barrio,Las playas,Placa polideportiva las playas,Cl. 51 #44-2 a 44-34,6.66154389,75.75369254,POINT (6.66154389 75.75369254)
Gimnasio al aire libre,Comuna 1 Liborio Mejía,Barrio,La herradura,Gimnasio al aire libre la herradura,Cl. 64 #47-122 a 47-144,6.66162403,75.75368419,POINT (6.66162403 75.75368419)
Placa Polideportiva,Comuna 1 Liborio Mejía,Barrio,Los lagos,Placa polideportiva los lagos,Cra. 48 #61-121 a 61-81,6.66160868,75.75369592,POINT (6.66160868 75.75369592)
Gimnasio al aire libre,Comuna 1 Liborio Mejía,Barrio,Los lagos,Gimnasio al aire libre los lagos,Cra. 48 #61-121 a 61-81,6.66160868,75.75369592,POINT (6.66160868 75.75369592)
Placa Polideportiva,Comuna 1 Liborio Mejía,Barrio,Horizontes,Placa polideportiva. horizontes,Cerca de Cl. 59d #53a2,6.66161119,75.75373132,POINT (6.66161119 75.75373132)
Gimnasio al aire libre,Comuna 1 Liborio Mejía,Barrio,Alto de la mosca,Gimnasio al aire libre. alto de la mosca,Carrera 54. alto de la mosca,6.66159656,75.75373785,POINT (6.66159656 75.75373785)
Placa Polideportiva,Comuna 1 Liborio Mejía,Barrio,Bosques del Norte,Placa polideportiva Bosques del norte,Cra. 57 #59a-2 a 59a-32,6.66160754,75.75375283,POINT (6.66160754 75.75375283)
Gimnasio al aire libre,Comuna 1 Liborio Mejía,Barrio,Bosques del norte,Gimnasio al aire libre bosques del norte,Cl. 59ab #54-117 a 54-67,6.66160759,75.75375011,POINT (6.66160759 75.75375011)
